record,polled_utc,line,destination,arrival_utc,minutes_away
144,2025-05-07T16:53:53+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,23
145,2025-05-07T16:54:55+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:57+00:00,3
146,2025-05-07T16:54:55+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,12
147,2025-05-07T16:54:55+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,22
148,2025-05-07T16:55:57+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:58:16+00:00,2
149,2025-05-07T16:55:57+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,11
150,2025-05-07T16:55:57+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,21
151,2025-05-07T16:56:59+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:47+00:00,0
152,2025-05-07T16:56:59+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,10
153,2025-05-07T16:56:59+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,20
154,2025-05-07T16:58:01+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:58:09+00:00,0
155,2025-05-07T16:58:01+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,9
156,2025-05-07T16:58:01+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,19
157,2025-05-07T16:59:03+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,8
158,2025-05-07T16:59:03+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,18
159,2025-05-07T16:59:03+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,28
160,2025-05-07T17:00:05+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,7
161,2025-05-07T17:00:05+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,17
162,2025-05-07T17:00:05+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,27
163,2025-05-07T17:01:07+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,6
164,2025-05-07T17:01:07+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,16
165,2025-05-07T17:01:07+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,26
166,2025-05-07T17:02:09+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,5
167,2025-05-07T17:02:09+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,15
168,2025-05-07T17:02:09+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,25
169,2025-05-07T17:03:11+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:08:50+00:00,5
170,2025-05-07T17:03:11+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,14
171,2025-05-07T17:03:11+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,24
172,2025-05-07T17:04:14+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:47+00:00,3
173,2025-05-07T17:04:14+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,13
174,2025-05-07T17:04:14+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,23
175,2025-05-07T17:05:16+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:13+00:00,1
176,2025-05-07T17:05:16+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,12
177,2025-05-07T17:05:16+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,22
178,2025-05-07T17:06:18+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:18+00:00,0
179,2025-05-07T17:06:18+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,11
180,2025-05-07T17:06:18+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,21
181,2025-05-07T17:07:20+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:38+00:00,0
182,2025-05-07T17:07:20+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,10
183,2025-05-07T17:07:20+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,20
184,2025-05-07T17:08:22+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,9
185,2025-05-07T17:08:22+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,19
186,2025-05-07T17:08:22+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,29
187,2025-05-07T17:09:24+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,8
188,2025-05-07T17:09:24+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,18
189,2025-05-07T17:09:24+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,28
190,2025-05-07T17:10:26+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,7
191,2025-05-07T17:10:26+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,17
192,2025-05-07T17:10:26+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,27
193,2025-05-07T17:11:28+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:30+00:00,6
